kode_barang,kode_barcode,kode_barcode_2,kode_barcode_3,nama,kategori,sub_kategori,supplier,tanggal_beli,isi,isi_satuan_3,satuan_1,satuan_2,satuan_3,toko,gudang,hpp,harga_toko_1,harga_toko_2,harga_toko_3,harga_partai_1,harga_partai_2,harga_partai_3,harga_cabang_1,harga_cabang_2,harga_cabang_3,lokasi,ukuran,warna,nama_2,nama_3,stok_min,stok_max
10001,8992753282401,0.0,0.0,123 BENDERA COKLAT 300G,SUSU,0.0,"HANSEL DNP, PT",1899-12-30,24,1,PCs,0.0,0.0,0,0,19218.16,19600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
20020,8999909192034,0.0,0.0,2.3.4 FILTER,ROKOK,0.0,ANGUANG,1899-12-30,1,1,SLOF,0.0,0.0,0,0,84870.0,86000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
20021,8999909007147,0.0,0.0,234 KERETEK,ROKOK,0.0,a,1899-12-30,10,1,BUNGKUS,0.0,0.0,0,0,11140.0,12000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
20018,8999909172234,0.0,0.0,234 KERETEK 12,ROKOK,0.0,ANGUANG,1899-12-30,20,1,BUNGKUS,0.0,0.0,0,0,216000.0,217000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
20019,8999909005860,0.0,0.0,234 KERETEK 16,ROKOK,0.0,ANGUANG,1899-12-30,1,1,SLOF,0.0,0.0,0,0,125190.0,126000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
20022,8999269471015,0.0,0.0,26-PROMIL GOLD 400G,TEPUNG,0.0,"DOS NI ROHA, PT",1899-12-30,24,1,PCs,0.0,0.0,0,0,97524.7,98500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
20007,8992780020151,0.0,0.0,2TANG AIR MINERAL 240ML,MINUMAN,0.0,ANTARIKSA NIAGA,1899-12-30,12,1,PCs,0.0,0.0,0,0,833.33,900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0
20009,8992780020182,0.0,0.0,2TANG AIR MINERAL 330ML,MINUMAN,0.0,Unknown,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
20008,8992780020038,0.0,0.0,2TANG AIR MINERAL 600ML,MINUMAN,0.0,Unknown,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48,0
20011,8992780020052,0.0,0.0,2TANG SPORT 500ML,MINUMAN,0.0,Unknown,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0
20017,8992780030051,0.0,0.0,2TANG TEH BUBUK 50GR VANILLA,TEH & KOPI,0.0,Unknown,1899-12-30,200,1,BUNGKUS,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
