kode_barang,kode_barcode,kode_barcode_2,kode_barcode_3,nama,kategori,sub_kategori,supplier,tanggal_beli,isi,isi_satuan_3,satuan_1,satuan_2,satuan_3,toko,gudang,hpp,harga_toko_1,harga_toko_2,harga_toko_3,harga_partai_1,harga_partai_2,harga_partai_3,harga_cabang_1,harga_cabang_2,harga_cabang_3,lokasi,ukuran,warna,nama_2,nama_3,stok_min,stok_max,total_stock,total_sales,profit_margin,low_stock_flag,fast_moving_flag,margin_category
10001,8992753282401,,,123 BENDERA COKLAT 300G,SUSU,Unknown,"HANSEL DNP, PT",1899-12-30,24,1,PCs,Unknown,Unknown,0,0,19218.16,19600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,32.0,0.0195,True,False,Low
20020,8999909192034,,,2.3.4 FILTER,ROKOK,Unknown,ANGUANG,1899-12-30,1,1,SLOF,Unknown,Unknown,0,0,84870.0,86000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,33.0,0.0131,True,False,Low
20021,8999909007147,,,234 KERETEK,ROKOK,Unknown,a,1899-12-30,10,1,BUNGKUS,Unknown,Unknown,0,0,11140.0,12000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,32.0,0.0717,True,False,Low
20018,8999909172234,,,234 KERETEK 12,ROKOK,Unknown,ANGUANG,1899-12-30,20,1,BUNGKUS,Unknown,Unknown,0,0,216000.0,217000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,49.0,0.0046,True,True,Low
20019,8999909005860,,,234 KERETEK 16,ROKOK,Unknown,ANGUANG,1899-12-30,1,1,SLOF,Unknown,Unknown,0,0,125190.0,126000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0064,True,True,Low
20022,8999269471015,,,26-PROMIL GOLD 400G,TEPUNG,Unknown,"DOS NI ROHA, PT",1899-12-30,24,1,PCs,Unknown,Unknown,0,0,97524.7,98500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,36.0,0.0099,True,False,Low
20007,8992780020151,,,2TANG AIR MINERAL 240ML,MINUMAN,Unknown,ANTARIKSA NIAGA,1899-12-30,12,1,PCs,Unknown,Unknown,0,0,833.33,900,,,,,,,,,Unknown,Unknown,Unknown,,,2,0,0,46.0,0.0741,True,True,Low
70002,89686811025,,,7UP 330ML,SUSU,Unknown,LIM SIANG HUAT,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,4000.0,4400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,37.0,0.0909,True,False,Low
80002,8882730008301,,,888 CALIFORNIA NEW ORANGE,PARFUM,Unknown,PT SELATINDO BA,1899-12-30,1,1,BOX,Unknown,Unknown,0,0,9653.0,9800,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,42.0,0.015,True,False,Low
A2375,9555021502350,,,A LICAFE 100G,MINUMAN,Unknown,INDOMARCO,1899-12-30,24,1,BUNGKUS,Unknown,Unknown,0,0,7350.0,8000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,25.0,0.0812,True,False,Low
A2376,9555021502336,,,A LICAFE 300G,MINUMAN,Unknown,INDOMARCO,1899-12-30,24,1,BUNGKUS,Unknown,Unknown,0,0,20850.0,21500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,41.0,0.0302,True,False,Low
A2568,8992761111212,,,A&W SARSAPARILA 330ML,MINUMAN,Unknown,COCA COLA DISTR,1899-12-30,24,1,KALENG,Unknown,Unknown,0,0,4489.58,5000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,15.0,0.1021,True,False,Medium
A2492,9556593112381,,,A1 SHELLA SENBAI RICE 360G,SNACK,Unknown,"INDOSINMA JAYA,",1899-12-30,8,1,BUNGKUS,Unknown,Unknown,0,0,3.7,30500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,35.0,0.9999,True,False,High
