kode_barang,total_stock
10001,18
20020,17
20021,18
20018,1
20019,0
20022,14
20007,4
70002,13
80002,8
A2375,25
A2376,9
A2568,35
A2492,15
A2457,2
A2431,36
A2416,0
A2432,4
A2435,11
A2545,33
A2546,11
A2692,18
A2689,0
A2665,28
A2678,14
A2494,0
A2436,15
A2671,0
A2404,32
A2763,16
A2764,18
A2670,0
A2772,7
A2405,12
A2704,22
A2693,16
A2406,0
A2696,15
A2726,16
A2737,29
A2604,10
A2410,13
A2725,0
A1314,30
A2599,8
A2397,30
A2396,4
A2400,7
A2403,0
A2399,19
A2398,8
A2569,20
A1482,26
A2455,7
A2391,0
A2667,1
A0169,1167
A2390,6
A2389,29
A2386,10
A2724,1
A2723,21
A2380,19
A2382,26
A2381,28
A2740,5
A2722,24
A2575,29
A2709,18
A2719,32
A2627,10
A2387,0
A2794,38
A2731,18
A2720,11
A2721,20
A2412,17
A2736,19
A2628,1
A2385,5
A2773,17
A2781,12
A2413,19
A2388,20
A2414,10
A2654,4
A2411,39
A2700,15
A2701,18
A2394,15
A2393,0
A2392,7
A2661,5
A2395,4
A2407,20
A2611,3
A2714,0
A2415,5
A2748,27
A2681,14
A2515,14
A2486,19
A2408,29
A2445,11
A2434,57
A2574,25
A2573,1
A2634,23
A2596,37
A0254,207
A2439,16
A2437,26
A0252,214
A0253,180
A0255,198
A2438,36
A0258,210
A2761,22
A2762,8
A2559,23
A2558,22
A0259,185
A2557,18
A0262,196
A0264,227
A2409,6
A2401,5
A2680,22
A2384,9
A2383,10
A2402,25
A2780,26
A2760,5
A2674,0
A2422,37
A2589,3
A2421,31
A2420,13
A2738,6
A2703,15
A2702,8
A2792,5
A2480,15
A2482,11
A2481,31
A2417,35
A2418,0
A2759,1
A2619,12
A2499,30
A2582,4
A2581,10
A2580,15
A2583,15
A2497,8
A2498,9
A2632,2
A2630,38
A2631,34
A2500,20
A1853,6
A1861,24
A0327,215
A0326,186
A0328,201
A2379,0
A2378,4
A1629,34
A1627,29
A1628,8
A1601,0
A1381,15
A0057,212
A1382,25
A0058,226
A0010,232
A0011,215
A0009,230
A0012,202
A2615,26
A2623,21
A2622,3
A0029,22
A0030,7
A0031,0
A0032,14
A0041,2
A1610,7
A0042,0
A0043,31
A0053,23
A0054,46
A0056,39
A0055,23
A2478,0
A2377,14
A2479,5
A2493,23
A2656,7
A2657,4
A2659,1
A2658,25
A2554,23
A2553,11
A2552,15
A2551,0
A2567,20
A2566,3
A2550,4
A2549,0
A2424,38
A2425,1
A2734,32
A2766,10
A2765,12
A2786,19
A2767,50
A0355,30
A1735,19
A0354,33
A0353,46
A1734,22
A1758,11
A0347,36
A1792,37
A0351,438
A1757,19
A0357,459
A1731,4
A0349,388
A0356,437
A1818,20
A1816,14
A1815,1
A0345,220
A1736,8
A0352,571
A1732,31
A2426,19
A2624,17
A0346,463
A2514,27
A2727,0
A2626,36
A2653,11
A2509,20
A2463,22
A0359,557
A1737,14
A1976,3
A2007,9
A2006,11
A2460,15
A2456,30
A2597,10
A2598,31
A2712,15
A2540,0
A0398,16
A0399,21
A0397,11
A0400,0
A0401,5
A0402,11
A0403,0
A0404,30
A0405,11
A1368,11
A1367,11
A1438,27
A1437,1
A2461,6
A0418,0
A0415,18
A0416,0
A1239,25
A1551,2534
A1648,7
A1649,39
A1647,13
C1319,201
A2625,11
