transaction_id,tanggal,kode_barang,nama_produk,kategori,supplier,qty,harga_jual,hpp,total,profit,expense,payment_method,status,tahun,bulan,hari
1,2026-05-20 00:00:50.489105,B3064,BIG BABOL 93GR COLOR,PERMEN,PT MULTIBOGA  A,2,3300,2950.0,6600,700.0,5900.0,Tunai,Selesai,2026,5,20
2,2026-01-27 00:00:50.493478,T2528,TISU JOLLI,MINUMAN,a,5,12000,10937.5,60000,5312.5,54687.5,QRIS,Selesai,2026,1,27
3,2026-03-22 00:00:50.497429,F0393,FORMULA ANTI CAVITY 200G,PASTA & S-GIGI,PT ANUGRAH PERK,4,7300,6900.0,29200,1600.0,27600.0,Tunai,Selesai,2026,3,22
4,2025-06-20 00:00:50.503171,O0630,OREO STRAW,ROKOK,PT SELATINDO BA,2,1000,900.0,2000,200.0,1800.0,QRIS,Selesai,2025,6,20
5,2026-04-18 00:00:50.509212,M3617,MORISCA L.LEGIT 365GR MAMBO,MAKANAN,"BINTANG LIMA, P",9,13900,13200.0,125100,6300.0,118800.0,Tunai,Proses,2026,4,18
6,2025-10-28 00:00:50.513229,A1506,ATTACK 450G SOFTENER,DETERGEN,LESTARI MANDIRI,10,8600,8113.62,86000,4863.800000000001,81136.2,QRIS,Selesai,2025,10,28
7,2026-05-17 00:00:50.517538,E0860,ESKULIN KIDS POWDER 150ML MICKEY,KOSMETIK,PT ANUGRAH PERK,1,7700,7000.0,7700,700.0,7000.0,Tunai,Proses,2026,5,17
8,2026-02-10 00:00:50.522941,O0189,ORIENTAL CAKE 24S JACKER CHES,BISKUIT,a,2,15500,2.21,31000,30995.58,4.42,QRIS,Proses,2026,2,10
9,2025-09-16 00:00:50.526929,L2112,LIFEBUOY CLEAN & THICK 100ML,SABUN & SAMPHOO,PRINTIS PRIBADI,4,5000,4650.0,20000,1400.0,18600.0,Tunai,Selesai,2025,9,16
10,2026-05-19 00:00:50.530339,T2488,TROPICANA SLIM 2GX100S,SUSU,NATURAL ALTOVIR,10,55400,52800.0,554000,26000.0,528000.0,Tunai,Selesai,2026,5,19
11,2026-02-20 00:00:50.534051,I1035,IZZI SPASH COLOGNE WONDERFUL 75ML,PARFUM,PT KARYA CITRA,9,5400,5063.0,48600,3033.0,45567.0,QRIS,Selesai,2026,2,20
12,2025-10-30 00:00:50.538627,S7213,SWISS ROLL 24SX12G STRAW,SNACK,PT.YAFINDO  MIT,9,16800,15750.0,151200,9450.0,141750.0,QRIS,Selesai,2025,10,30
13,2025-10-15 00:00:50.542530,S1223,SGM LLM 300G (LOW LACTOSA),SUSU,PT SELATINDO BA,4,30600,30158.0,122400,1768.0,120632.0,Transfer,Selesai,2025,10,15
14,2026-01-10 00:00:50.545878,J1032,JB BEDTIME POWDER 50GR,PRODUCT BAYI,MESTIKA BATAM S,10,2600,2200.0,26000,4000.0,22000.0,Tunai,Selesai,2026,1,10
15,2026-03-12 00:00:50.549624,N0864,NUTRI SARI 10S FLORIDA ORANGE,MINUMAN,NATURAL ALTOVIR,1,11600,11000.0,11600,600.0,11000.0,Tunai,Selesai,2026,3,12
16,2025-12-09 00:00:50.553799,M4612,MANDOM SHMPO STRW 250ML BTL,OBATAN,"TANESIA, PT",7,16900,15416.66,118300,10383.380000000001,107916.62,Tunai,Proses,2025,12,9
17,2026-03-14 00:00:50.557629,M3208,MILNA BISC MARIE 150G SAYURAN,MAKANAN BAYI,"BINTANG LIMA, P",5,8900,8550.0,44500,1750.0,42750.0,Transfer,Selesai,2026,3,14
18,2025-12-11 00:00:50.561029,S3322,SAMPOERNA KRETEK GESER 12,ROKOK,ANGUANG,4,6500,5823.0,26000,2708.0,23292.0,Tunai,Selesai,2025,12,11
19,2026-04-15 00:00:50.565328,B4252,BUKU TULIS,STATIONERY,GAJAH MADA,2,1000,700.0,2000,600.0,1400.0,Tunai,Selesai,2026,4,15
20,2026-04-13 00:00:50.570065,E0864,ESKULIN MIST.COL 125ML ARIEL,PARFUM,PT ANUGRAH PERK,7,11000,10000.0,77000,7000.0,70000.0,Tunai,Selesai,2026,4,13
21,2025-12-07 00:00:50.573971,K3506,KODOMO 2IN1 KIDS2 6-9 YEARS,ROKOK,a,6,7800,7800.0,46800,0.0,46800.0,QRIS,Selesai,2025,12,7
22,2026-01-17 00:00:50.577474,S6730,SAMPUL BUKU KERTAS 1PACK,SNACK,BATAM PEPER CV,10,8500,6500.0,85000,20000.0,65000.0,QRIS,Selesai,2026,1,17
23,2025-10-09 00:00:50.581170,L2213,LIFEBUOY A.DANDRUFF 180ML,MINUMAN,PRINTIS PRIBADI,1,11900,11250.0,11900,650.0,11250.0,QRIS,Proses,2025,10,9
24,2026-03-30 00:00:50.584695,S0528,SBA SABUN SIRIH 90ML FLORAL,SABUN & SAMPHOO,PT KARYA CITRA,9,6800,6122.0,61200,6102.0,55098.0,Transfer,Selesai,2026,3,30
25,2026-04-22 00:00:50.589108,F1329,FY MOM MASSAGE BODYBUTTER 150G,OBATAN,PT MULTIBOGA  A,7,37200,35420.0,260400,12460.0,247940.0,Transfer,Selesai,2026,4,22
26,2026-01-02 00:00:50.592610,N1597,NESCAFE COFFEE CREAM 200ML,MAKANAN PAGI,PD BINTANG BARU,9,2900,2437.87,26100,4159.170000000001,21940.829999999998,Tunai,Proses,2026,1,2
27,2025-11-28 00:00:50.596240,P1136,PORSTEX 2LT UNGU,DETERGEN,MITRA MANDIRI T,10,23100,22000.0,231000,11000.0,220000.0,Transfer,Proses,2025,11,28
28,2026-02-23 00:00:50.600143,B4161,BUKU GAMBAR  A 4,STATIONERY,BATAM PEPER CV,10,1700,1400.0,17000,3000.0,14000.0,Tunai,Selesai,2026,2,23
29,2026-05-09 00:00:50.604479,S6771,SUNSILK STRAIGHT & SLEEK 180ML,SABUN & SAMPHOO,PRINTIS PRIBADI,2,14300,13600.0,28600,1400.0,27200.0,Tunai,Selesai,2026,5,9
30,2026-01-04 00:00:50.608562,D2230,DENIM  MUSK 150ML,SABUN & SAMPHOO,PT KARYA CITRA,4,22000,20900.0,88000,4400.0,83600.0,Tunai,Selesai,2026,1,4
31,2026-02-02 00:00:50.612412,L2473,LA FONTE SAUS BOLOGNESE 105G,SUSU,BENTORO ADISAND,2,5400,4932.0,10800,936.0,9864.0,Tunai,Selesai,2026,2,2
32,2025-11-19 00:00:50.615933,M4280,MARIGOLD SOYA BEEN 250ML,GULAPUTIH,a,2,2400,2179.16,4800,441.6800000000003,4358.32,Tunai,Selesai,2025,11,19
33,2025-10-12 00:00:50.620916,D1120,DETTOL S.FOAM 650ML COOL PUMP,SABUN & SAMPHOO,MESTIKA BATAM S,5,43600,41449.0,218000,10755.0,207245.0,Tunai,Proses,2025,10,12
34,2026-03-10 00:00:50.624621,M4619,MENTARIKU RAJA HITAM 1KG,SUSU,PT.MULTIBOGA AR,6,37200,35300.0,223200,11400.0,211800.0,QRIS,Selesai,2026,3,10
35,2025-12-02 00:00:50.628888,K3349,KODOMO SHMPO STRW 200ML,ROKOK,PT CITRA UTAMA,6,10300,9610.0,61800,4140.0,57660.0,Tunai,Selesai,2025,12,2
36,2025-06-23 00:00:50.632670,C0118,C.I.L ROLL-ON 35ML ENRICH,PARFUM,PT MULTIBOGA  A,4,6000,5456.0,24000,2176.0,21824.0,Tunai,Proses,2025,6,23
37,2025-06-07 00:00:50.637198,B0911,BIN BIN RICE CRAGKERS 150G,SNACK,"INDOSINMA JAYA,",5,14900,14250.0,74500,3250.0,71250.0,Tunai,Selesai,2025,6,7
38,2025-07-25 00:00:50.641404,A0983,AXI 800ML LEMON POUCH,DETERGEN,PT. SUKSES JAYA,2,7200,6850.0,14400,700.0,13700.0,Transfer,Selesai,2025,7,25
39,2025-09-01 00:00:50.644825,D0045,DAIA 100G SENSASI SEGAR,DETERGEN,PT CITRA UTAMA,3,1000,850.0,3000,450.0,2550.0,Transfer,Selesai,2025,9,1
40,2026-03-10 00:00:50.649209,K0059,KACANG AYAM 225G DISCO,SNACK,PT. SUKSES JAYA,4,7300,7000.0,29200,1200.0,28000.0,Tunai,Selesai,2026,3,10
41,2025-11-19 00:00:50.653985,S7377,SWEETY PANTZ XL7,BISKUIT,"HANSEL DNP, PT",8,16100,15250.0,128800,6800.0,122000.0,Tunai,Selesai,2025,11,19
42,2025-07-09 00:00:50.658256,K3063,KOKO CRUNCH CEREAL 65G,MAKANAN BAYI,"BINTANG BARU, P",5,5000,3952.43,25000,5237.85,19762.149999999998,Transfer,Selesai,2025,7,9
43,2026-02-09 00:00:50.661891,C3230,CLOSE UP SPA MOIST 160G,PASTA & S-GIGI,PRINTIS PRIBADI,9,9800,9250.0,88200,4950.0,83250.0,Tunai,Selesai,2026,2,9
44,2026-05-04 00:00:50.665751,B1137,LAGIE BLACK SWAN 70G RAISIN,COKELAT,"SUMBER SARI,CV",6,3300,3000.0,19800,1800.0,18000.0,Tunai,Selesai,2026,5,4
45,2026-05-16 00:00:50.669566,N1611,NESCAFE 3IN1 ORIGINAL 100S,PERMEN,PD BINTANG BARU,4,71900,71168.0,287600,2928.0,284672.0,QRIS,Selesai,2026,5,16
46,2025-11-08 00:00:50.673560,B4479,BIORE F.F 100G ACNE CARE,SABUN & SAMPHOO,LESTARI MANDIRI,6,14200,13363.62,85200,5018.279999999995,80181.72,Tunai,Selesai,2025,11,8
47,2026-04-29 00:00:50.676916,C4177,CHIL KID SOYA 3 300G,BISKUIT,"BINTANG LIMA, P",5,67100,66413.0,335500,3435.0,332065.0,Transfer,Selesai,2026,4,29
48,2025-08-15 00:00:50.680636,P4206,PRENANGEN VAN 2X200GR,SUSU,"BINTANG LIMA, P",4,60500,59850.0,242000,2600.0,239400.0,Tunai,Selesai,2025,8,15
49,2026-02-13 00:00:50.684410,T2465,TEH CELUP POCI STRAW 50G,TEH & KOPI,LESTARI MANDIRI,6,2100,1916.67,12600,1099.9799999999996,11500.02,Tunai,Selesai,2026,2,13
