transaction_id,tanggal,kode_barang,nama_produk,kategori,supplier,qty,harga_jual,hpp,total,profit,tahun,bulan,hari
1,2026-04-11 21:18:47.844594,S6721,SURYA SLIM 16 MENTOL,ROKOK,SURYA JAYA BHAK,1,9000,8450.0,9000,550.0,2026,4,11
2,2026-02-05 21:18:47.847120,L2446,LACYS ALUMINIUM FOIL 30CM,SUSU,SRIJAYA RAYA PE,4,9400,8700.0,37600,2800.0,2026,2,5
3,2025-07-03 21:18:47.849865,G1467,CANGKIR SET MERIDIEN OF-6 KIG,ALAT RUMAH TANGGA,0,2,0,0.0,0,0.0,2025,7,3
4,2026-02-11 21:18:47.852173,O0007,OBH AFIAT 100ML,OBATAN,0,7,0,0.0,0,0.0,2026,2,11
5,2026-02-20 21:18:47.854379,M2375,MASAKO 250G RASA AYAM,BUMBU,a,8,7000,6783.33,56000,1733.3600000000006,2026,2,20
6,2025-07-17 21:18:47.856573,G0098,G/L STYLING GEL 140ML BIRU,KOSMETIK,0,6,9000,0.0,54000,54000.0,2025,7,17
7,2025-05-10 21:18:47.858651,R0537,ROMA BISCUIT 60G DURIAN,BISKUIT,0,6,0,0.0,0,0.0,2025,5,10
8,2025-10-10 21:18:47.860893,K1844,KONIDIN PERMEN SACHET 6S MINT,PERMEN,PT MARGA NUSANT,8,2000,1406.5,16000,4748.0,2025,10,10
9,2026-03-26 21:18:47.862990,V0476,VIXAL PEMB PORS BIRU BTL500ML,DETERGEN,PRINTIS PRIBADI,9,8200,7600.0,73800,5400.0,2026,3,26
10,2025-08-23 21:18:47.865158,A2632,ADIDAS MEN 150ML DEEP ENERGY,SUSU,PT KARYA CITRA,3,30200,28720.0,90600,4440.0,2025,8,23
11,2025-10-20 21:18:47.867238,S7550,SASA TP BUMBU 80G KENTUCKY HOT,BUMBU,PT ANUGRAH PERK,9,2200,1819.0,19800,3429.0,2025,10,20
12,2026-03-03 21:18:47.869413,M3433,MD MILK MARIE 125G,BISKUIT,0,7,0,0.0,0,0.0,2026,3,3
13,2025-10-12 21:18:47.871674,L0877,LS VT-9 SEALWARE 815ML,ALAT RUMAH TANGGA,0,8,0,0.0,0,0.0,2025,10,12
14,2025-07-23 21:18:47.873749,M2328,MAMASUKA KALDU 9GX6S SAPI,BUMBU,0,9,0,0.0,0,0.0,2025,7,23
15,2026-04-02 21:18:47.875820,R1228,ROMA BISC 60G SLAI OLAI,BISKUIT,COLAMAS INDAH S,6,1000,850.0,6000,900.0,2026,4,2
16,2025-10-23 21:18:47.878000,N1500,NYAM NYAM CHOCOFUN 12PC@44.5G,BISKUIT,0,2,0,0.0,0,0.0,2025,10,23
17,2026-01-20 21:18:47.880202,K2164,KOTAK PRAXIS KP-6 L/S,PECAH BELAH,0,1,0,0.0,0,0.0,2026,1,20
18,2025-09-18 21:18:47.882375,K1635,KANTONG ULTAH LOOT BAGS 8S (G.M),STATIONERY,0,9,0,0.0,0,0.0,2025,9,18
19,2026-02-15 21:18:47.884446,Y0431,YUPI MANGO 12SX18G,SUSU,PT.YAFINDO  MIT,9,10500,10000.0,94500,4500.0,2026,2,15
20,2025-12-01 21:18:47.886523,P0091,PALMOLIN 1LT BOTOL,MINYAK GORENG,0,10,0,0.0,0,0.0,2025,12,1
21,2025-05-21 21:18:47.888625,G1249,GLADE DIAMOND REF 90ML S.ROSE,PARFUM,PT. SUKSES JAYA,2,13400,12750.0,26800,1300.0,2025,5,21
22,2025-09-26 21:18:47.890809,B0258,BARBARA  MOUSSE 180G COND,KOSMETIK,0,1,0,0.0,0,0.0,2025,9,26
23,2025-10-28 21:18:47.892862,A0063,AGAR SWALL SUN RED,MANISAN,0,8,0,0.0,0,0.0,2025,10,28
24,2026-02-19 21:18:47.894926,C0305,CAMERA DIAPERS REG M-16,PAMPERS,"INDOSINMA JAYA,",8,21000,20000.0,168000,8000.0,2026,2,19
25,2025-06-25 21:18:47.897024,H0984,HANGER KAWAT 1818,ALAT RUMAH TANGGA,MULTI GLOBAL TR,7,8500,5640.0,59500,20020.0,2025,6,25
26,2025-05-28 21:18:47.899095,G2093,GLADE SCENTED GEL 200G LEMON,TANDAS,PT. SUKSES JAYA,8,18700,17750.0,149600,7600.0,2025,5,28
27,2025-05-11 21:18:47.901356,A1015,AYU SOAP 80G KUNING,SABUN & SAMPHOO,TOKO GUNUNG KAW,8,1600,1377.0,12800,1784.0,2025,5,11
28,2025-12-27 21:18:47.903499,G2284,GAYUNG AIR GL-3LS,ALAT RUMAH TANGGA,0,1,0,0.0,0,0.0,2025,12,27
29,2025-07-24 21:18:47.906619,G0131,GAGA MACKERL 425G GR BALADO,MAKANAN KALENG,0,9,0,0.0,0,0.0,2025,7,24
30,2025-10-11 21:18:47.908792,P0659,PIGEON COMP PWD 14G IVORI,KOSMETIK,PT KARYA CITRA,10,22400,21390.0,224000,10100.0,2025,10,11
31,2025-08-31 21:18:47.911066,G2612,GLADE BATHROOM FRESH LEMON,DETERGEN,PT.SUKSES JAYA,3,7200,6750.0,21600,1350.0,2025,8,31
32,2025-10-11 21:18:47.913155,P1139,PORSTEX 500ML BIRU BOTOL,DETERGEN,PT.MULTIBOGA AR,9,8100,7625.0,72900,4275.0,2025,10,11
33,2025-08-15 21:18:47.915243,C1415,CONTREXYN JERUK 4S,OBATAN,"BINTANG LIMA, P",9,800,552.0,7200,2232.0,2025,8,15
34,2026-01-12 21:18:47.917309,P3973,P/CASE KALENG B-4105 (G.M),STATIONERY,0,1,0,0.0,0,0.0,2026,1,12
35,2025-05-27 21:18:47.919543,C0685,CB COLOGNE 100ML M.BLUE,PRODUCT BAYI,MITRA MANDIRI T,10,13300,12012.0,133000,12880.0,2025,5,27
36,2026-04-21 21:18:47.921654,P0273,PARAGO FLAT RALLY ASS 20S,PERMEN,0,8,0,0.0,0,0.0,2026,4,21
37,2025-07-03 21:18:47.923718,P2331,PEMBUKA KALENG B.52 JHEDY,ALAT RUMAH TANGGA,0,5,0,0.0,0,0.0,2025,7,3
38,2026-05-05 21:18:47.925793,M1988,M.RATU O.KUMUR CENGKEH 200ML,KOSMETIK,0,3,0,0.0,0,0.0,2026,5,5
39,2025-05-22 21:18:47.927862,B2711,BLACKISS BISC 20S VANILA,BISKUIT,SANTRI JAYA.CV,1,9000,8100.0,9000,900.0,2025,5,22
40,2026-04-04 21:18:47.930008,S5530,SHINYOKU ECOLAMP 18W,ALAT LISTRIK,NKC RUPAT KARYA,9,28900,27500.0,260100,12600.0,2026,4,4
41,2026-01-13 21:18:47.932160,D2056,DOT BTL SS PIGEON,STATIONERY,PT KARYA CITRA,6,7600,7315.0,45600,1710.0,2026,1,13
42,2025-06-27 21:18:47.934254,S4033,SIGI FORMULA ZAP HELM (S),PASTA & S-GIGI,ARTA BOGA CEMER,6,2200,1883.33,13200,1900.0200000000004,2025,6,27
43,2026-03-22 21:18:47.936523,L1336,LONBISCO CAKE 24S WILDBERRY PIE,BISKUIT,0,8,0,0.0,0,0.0,2026,3,22
44,2025-06-01 21:18:47.938807,L2083,LACTOGEN 2 750G,SUSU,PD BINTANG BARU,4,65200,64462.83,260800,2948.679999999993,2025,6,1
45,2025-11-19 21:18:47.941040,M0963,MIE TELOR ATOM BULAN 200G,MIE,MITRA MANDIRI T,10,4600,4100.0,46000,5000.0,2025,11,19
46,2025-10-01 21:18:47.943124,G1714,GELAS SET CURIO CPST-8 KIG (S.A),PECAH BELAH,0,2,0,0.0,0,0.0,2025,10,1
47,2026-02-28 21:18:47.945223,C3297,C/C MAMBO JUICE 200ML APEL,MINUMAN,0,3,0,0.0,0,0.0,2026,2,28
48,2025-07-08 21:18:47.947276,D2258,DUMEX DUGRO 6+ 1KG ASLI,SUSU,MMP,9,73800,73000.0,664200,7200.0,2025,7,8
49,2025-09-29 21:18:47.949371,C1099,CIP SARDEN 155G TMT,MAKANAN KALENG,PT SELATINDO BA,5,4100,3894.0,20500,1030.0,2025,9,29
50,2025-07-23 21:18:47.951508,D2053,DELFI FUN TIME CRISPI WAFER 100G C.,PERMEN,"SUMBER SARI,CV",6,7200,6820.0,43200,2280.0,2025,7,23
51,2025-09-14 21:18:47.953575,G0860,GOOD AVOCADO 300ML,SABUN & SAMPHOO,0,9,0,0.0,0,0.0,2025,9,14
52,2025-10-15 21:18:47.955639,K2590,K/K S.H MEN CASUAL UC2-V006,MINUMAN,0,6,0,0.0,0,0.0,2025,10,15
53,2025-10-14 21:18:47.957698,J1045,JOHNSONS BABY MILK SOAP 100G,PRODUCT BAYI,MESTIKA BATAM S,8,3800,3410.0,30400,3120.0,2025,10,14
54,2025-11-28 21:18:47.959796,D2416,DUMEX DUGRO 6+ 900G VNL,BISKUIT,MMP,2,76400,75626.0,152800,1548.0,2025,11,28
55,2025-06-22 21:18:47.961905,B4488,BUKU KWITANSI 40S TITI,STATIONERY,GAJAH MADA,1,2500,1800.0,2500,700.0,2025,6,22
56,2026-03-04 21:18:47.963964,P2553,PLONG S.STRONG 20G EUCALLY,PERMEN,0,2,0,0.0,0,0.0,2026,3,4
57,2025-09-14 21:18:47.966257,A0486,LAGIE ALPINE 60G PEANUT,COKELAT,0,1,0,0.0,0,0.0,2025,9,14
58,2025-11-11 21:18:47.968469,M3505,M/M REAL POT 35G NATURAL,SNACK,0,9,0,0.0,0,0.0,2025,11,11
